商家ID,total_actual_amount,total_postage,total_sales
100310,1425,6,8
100311,2052,18,14
100312,1121,0,9
100313,683,0,9
100314,1593,0,11
100315,799,0,10
100316,1443,0,10
100317,765,0,8
100318,1235,0,10
100319,560,0,5
100320,560,0,6
100321,1441,0,12
100322,1220,0,10
100323,1459,0,10
100324,1211,10,7
100325,995,0,8
100326,1430,0,10
100327,554,0,5
100328,755,0,7
100329,921,0,8
100330,561,0,7
100331,858,0,7
100332,876,0,8
100333,1348,24,10
100334,1414,0,12
100335,849,0,8
100336,1054,0,9
100337,1188,0,9
100338,1368,0,10
100339,1003,0,10
100340,1282,0,10
100341,1099,0,10
100342,1203,0,9
100343,542,0,7
100344,1014,8,8
100345,1300,0,8
100346,991,0,8
100347,866,8,8
100348,806,0,8
100349,574,10,5
100350,1043,0,8
100351,721,0,5
100352,930,0,7
100353,779,0,7
100354,1389,0,9
100355,1268,10,10
100356,791,0,5
100357,947,0,6
100358,969,0,7
100359,777,0,8
100360,1139,14,9
100361,701,0,6
100362,1215,0,10
100363,1027,0,9
100364,973,0,6
100365,758,0,6
100366,965,10,8
100367,757,0,8
100368,533,0,4
100369,770,0,7
100370,1502,0,11
100371,955,0,7
100372,733,0,5
100373,1290,0,10
100374,1221,10,9
100375,1041,10,7
100376,777,10,6
100377,810,10,7
100378,980,10,8
100379,641,0,7
100380,693,0,5
100381,1174,12,10
100382,931,0,7
100383,975,0,9
100384,1327,10,9
100385,1233,0,8
100386,968,0,7
100387,1370,0,10
100388,1054,16,8
100389,1795,0,11
100390,1195,6,8
100391,1559,0,10
100392,1414,6,9
100393,843,10,7
100394,769,0,5
100395,926,6,9
100396,1012,0,6
100397,1026,0,6
100398,1231,0,10
100399,1046,0,7
100400,1603,0,10
100401,1225,0,8
100402,606,0,6
100403,522,0,5
100404,993,8,7
100405,1038,0,9
100406,557,0,5
100407,1130,6,8
100408,647,0,8
100409,1444,8,9
100410,1232,12,9
100411,830,0,6
100412,973,0,8
100413,1286,0,8
100414,1027,0,9
100415,958,6,5
100416,1032,0,9
100417,1030,0,6
100418,1283,0,7
100419,846,0,8
100420,877,6,7
100421,897,8,8
100422,1251,0,9
100423,1218,0,8
100424,1033,10,8
100425,996,0,9
100426,492,0,4
100427,1373,0,10
100428,762,0,7
100429,1085,0,9
100430,1773,0,10
100431,1306,0,10
100432,708,0,7
100433,1131,0,7
100434,958,0,9
100435,758,0,6
100436,1186,0,10
100437,1284,0,8
100438,388,0,4
100439,757,0,6
100440,482,0,7
100441,592,0,4
100442,885,6,7
100443,771,0,7
100444,900,8,8
100445,498,0,5
100446,1403,0,10
100447,704,0,7
100448,1012,0,6
100449,658,0,6
100450,1305,0,10
100451,842,0,8
100452,1010,0,7
100453,974,0,7
100454,608,0,4
100455,1305,6,8
100456,943,0,8
100457,1125,0,7
100458,490,6,7
100459,1151,10,8
100460,1531,6,10
100461,1039,0,8
100462,946,0,7
100463,983,0,8
100464,1159,0,8
100465,846,10,6
100466,996,0,9
100467,1235,8,6
100468,1388,0,10
100469,1323,6,9
100470,341,0,6
100471,1018,0,8
100472,1022,0,9
100473,409,0,5
100474,466,6,6
100475,773,0,6
100476,1161,0,9
100477,678,10,8
100478,1089,0,10
100479,600,0,8
100480,470,0,5
100481,936,0,6
100482,857,0,8
100483,747,0,7
100484,629,6,6
100485,1193,0,10
100486,550,0,5
100487,1043,0,7
100488,715,0,9
100489,612,0,8
100490,874,0,7
100491,640,0,6
100492,1085,0,10
100493,902,10,8
100494,1024,10,8
100495,993,0,9
100496,865,0,9
100497,1233,0,8
100498,952,0,8
100499,463,0,3
100500,800,0,7
100501,1103,0,7
100502,930,0,6
100503,900,0,7
100504,850,0,8
100505,745,8,6
100506,858,0,8
100507,1372,8,8
100508,1255,8,9
100509,948,0,9
100510,724,0,7
100511,843,0,7
100512,922,6,8
100513,1082,0,8
100514,1008,0,8
100515,1794,18,10
100516,1485,0,8
100517,889,0,7
100518,772,0,6
100519,953,0,8
100520,857,0,7
100521,671,0,4
100522,1012,6,7
100523,696,0,6
100524,814,0,8
100525,774,0,8
100526,1206,6,9
100527,1326,6,8
100528,1198,6,8
100529,1084,0,8
100530,569,0,7
100531,736,0,7
100532,991,6,8
100533,636,0,6
100534,486,0,6
100535,588,0,5
100536,622,0,5
100537,825,0,7
100538,520,0,5
100539,562,12,5
100540,806,0,8
100541,774,0,6
100542,701,0,4
100543,1238,0,8
100544,1228,12,7
100545,1273,0,9
100546,863,0,7
100547,1062,0,8
100548,996,0,9
100549,655,8,5
100550,959,0,8
100551,1110,8,8
100552,408,0,3
100553,729,8,5
100554,859,0,5
100555,612,0,5
100556,997,0,8
100557,543,0,7
100558,1284,0,8
100559,746,0,5
100560,722,0,7
100561,1143,0,9
100562,831,0,6
100563,672,0,5
100564,1044,0,6
100565,677,0,5
100566,992,10,8
100567,1159,0,6
100568,517,8,4
100569,703,0,5
100570,739,0,6
100571,637,0,6
100572,404,0,6
100573,554,0,5
100574,468,0,5
100575,948,0,7
100576,755,10,7
100577,529,0,7
100578,1203,8,8
100579,1115,0,8
100580,1263,0,7
100581,1032,0,7
100582,877,0,6
100583,821,0,5
100584,784,0,6
100585,695,0,5
100586,704,0,5
100587,675,0,5
100588,1184,8,7
100589,822,0,7
100590,876,0,8
100591,714,0,6
100592,962,0,8
100593,991,10,7
100594,625,0,6
100595,597,0,5
100596,410,0,5
100597,881,0,8
100598,956,0,8
100599,366,0,4
100600,1030,0,8
100601,730,0,6
100602,1156,8,7
100603,604,0,6
100604,741,14,7
100605,502,0,7
100606,665,8,6
100607,507,0,6
100608,391,0,3
100609,985,0,5
100610,849,0,7
100611,535,0,5
100612,897,0,7
100613,934,6,6
100614,446,0,3
100615,360,0,4
100616,431,0,6
100617,1088,6,6
100618,523,0,5
100619,529,0,5
100620,695,8,6
100621,622,0,5
100622,981,0,8
100623,755,0,5
100624,597,0,5
100625,337,0,3
100626,697,10,4
100627,446,10,5
100628,788,10,7
100629,727,0,7
100630,755,0,5
100631,798,0,6
100632,535,0,5
100633,687,6,6
100634,703,0,7
100635,579,0,7
100636,471,6,4
100637,906,0,7
100638,1038,0,6
100639,954,0,8
100640,1165,0,7
100641,870,0,7
100642,736,0,8
100643,854,0,6
100644,538,0,7
100645,411,0,3
100646,368,0,3
100647,779,0,8
100648,1195,6,7
100649,934,0,6
100650,1009,8,5
100651,535,0,3
100652,871,8,7
100653,697,0,5
100654,963,14,7
100655,659,0,6
100656,517,0,5
100657,456,0,4
100658,672,0,5
100659,863,0,6
100660,558,0,4
100661,664,0,5
100662,567,6,4
100663,491,0,4
100664,541,0,4
100665,526,0,5
100666,744,0,5
100667,398,0,5
100668,927,6,7
100669,723,0,6
100670,710,0,5
100671,619,0,7
100672,211,0,4
100673,549,0,4
100674,451,0,3
100675,581,0,6
100676,448,0,4
100677,345,0,3
100678,769,0,5
100679,663,0,6
100680,694,6,4
100681,535,0,5
100682,627,0,6
100683,604,0,5
100684,755,0,4
100685,260,0,5
100686,807,0,6
100687,717,0,5
100688,804,8,6
100689,400,0,4
100690,760,0,6
100691,343,0,2
100692,398,0,5
100693,810,0,5
100694,440,0,4
100695,657,0,5
100696,989,8,6
100697,88,0,1
100698,417,0,4
100699,559,0,5
100700,445,0,3
100701,484,0,3
100702,729,0,5
100703,507,0,4
100704,537,0,4
100705,584,0,5
100706,613,0,4
100707,333,0,4
100708,380,0,5
100709,539,0,4
100710,1054,0,5
100711,585,0,5
100712,628,0,5
100713,345,0,3
100714,388,0,4
100715,96,0,2
100716,572,8,4
100717,568,0,5
100718,155,0,3
100719,356,0,4
100720,496,0,3
100721,641,0,5
100722,556,0,6
100723,631,0,5
100724,716,0,5
100725,318,0,4
100726,153,0,3
100727,448,0,4
100728,226,0,3
100729,374,0,3
100730,744,0,4
100731,298,0,4
100732,493,8,3
100733,189,0,1
100734,78,0,2
100735,678,0,5
100736,168,0,4
100737,533,0,4
100738,336,0,3
100739,549,0,3
100740,341,0,4
100741,631,0,5
100742,416,0,4
100743,543,8,4
100744,480,0,4
100745,685,0,4
100746,453,0,4
100747,429,0,4
100748,377,0,3
100749,537,0,4
100750,654,0,3
100751,614,0,3
100752,345,0,2
100753,603,6,4
100754,895,0,5
100755,403,0,4
100756,471,0,4
100757,257,0,3
100758,346,0,3
100759,301,0,4
100760,545,0,4
100761,294,0,3
100762,438,8,4
100763,520,8,4
100764,445,0,5
100765,649,0,5
100766,629,0,5
100767,200,0,4
100768,633,8,3
100769,605,0,4
100770,79,0,1
100771,495,0,4
100772,818,8,5
100773,509,6,3
100774,569,0,4
100775,842,8,5
100776,609,8,4
100777,459,8,4
100778,224,0,4
100779,712,0,5
100780,371,0,4
100781,576,0,5
100782,310,0,4
100783,777,0,4
100784,472,0,4
100785,410,0,4
100786,501,8,4
100787,212,0,2
100788,388,0,2
100789,748,8,5
100790,394,8,3
100791,728,8,4
100792,411,0,4
100793,355,6,2
100794,984,8,5
100795,461,0,4
100796,272,0,4
100797,330,0,3
100798,370,0,3
100799,694,14,5
100800,694,16,4
100801,589,0,3
100802,295,6,4
100803,430,0,3
100804,319,0,4
100805,422,0,3
100806,251,0,2
100807,302,0,2
100808,753,0,4
100809,578,8,4
100810,243,0,2
100811,363,0,4
100812,267,0,1
100813,126,0,2
100814,283,0,3
100815,191,0,3
100816,194,0,3
100817,238,0,3
100818,367,0,3
100819,284,0,3
100820,464,0,3
100821,343,0,4
100822,179,0,2
100823,207,0,2
100824,394,0,3
100825,301,0,3
100826,427,0,3
100827,254,0,3
100828,695,0,4
100830,218,0,2
100831,91,0,2
100832,207,0,3
100833,625,0,4
100834,516,0,2
100835,244,0,3
100836,570,0,4
100837,314,0,4
100838,195,0,2
100839,482,0,4
100840,522,8,3
100841,123,0,2
100842,278,0,3
100843,232,0,3
100844,143,0,2
100845,285,0,2
100846,655,0,4
100847,703,0,4
100848,461,0,3
100849,216,8,2
100850,265,0,3
100851,528,0,3
100852,490,0,4
100853,334,0,3
100854,692,0,4
100855,109,0,1
100856,357,0,4
100857,192,0,2
100858,373,0,4
100859,237,0,2
100860,431,8,3
100861,205,0,3
100862,234,0,3
100863,281,0,3
100864,263,0,3
100865,342,0,3
100866,210,0,2
100867,297,0,3
100868,301,0,4
100869,121,0,2
100870,723,0,4
100871,243,0,2
100872,443,0,4
100873,372,0,3
100874,678,0,4
100875,583,0,4
100876,295,0,3
100877,540,0,3
100878,275,0,3
100879,250,0,2
100880,446,0,2
100881,275,0,2
100882,87,0,1
100883,425,8,3
100884,645,0,4
100885,380,0,3
100886,491,0,3
100887,383,0,3
100888,485,0,3
100889,392,8,4
100890,510,0,3
100891,230,0,2
100892,356,0,3
100893,370,0,2
100894,139,0,1
100895,674,0,4
100896,303,0,3
100897,30,0,1
100898,274,0,4
100899,176,0,1
100900,472,0,4
100901,140,0,2
100902,393,0,4
100903,308,0,4
100904,484,8,2
100905,147,0,3
100906,390,8,4
100907,258,0,3
100908,240,0,3
100909,700,0,4
100910,213,0,1
100911,179,0,3
100912,445,8,3
100913,263,0,2
100914,459,6,4
100915,335,0,4
100916,802,0,4
100917,356,0,3
100918,239,8,3
100919,264,0,3
100920,264,0,3
100921,255,0,3
100922,401,0,4
100923,198,0,3
100924,182,0,3
100925,283,0,2
100926,334,0,4
100927,255,0,3
100928,295,0,3
100929,125,0,2
100930,260,0,2
100931,373,0,3
100932,235,0,4
100933,450,0,3
100934,243,0,3
100935,341,0,3
100936,574,0,4
100937,347,0,4
100938,372,0,3
100939,181,0,1
100940,340,0,2
100941,601,0,3
100942,526,0,4
100943,251,0,2
100944,342,0,3
100945,288,0,1
100946,194,0,2
100947,99,0,1
100948,470,0,4
100949,388,0,3
100950,154,0,2
100951,318,0,2
100952,430,0,3
100953,662,0,3
100954,498,0,4
100955,303,0,4
100956,249,0,3
100957,137,0,2
100958,266,0,2
100959,488,0,3
100960,367,0,3
100961,358,0,2
100962,118,0,2
100963,288,0,3
100964,112,0,1
100965,635,8,3
100966,308,0,3
100967,262,0,3
100968,649,0,4
100969,280,0,2
100970,236,0,2
100971,462,0,3
100972,520,8,3
100973,321,0,3
100974,382,0,3
100975,102,0,1
100976,187,0,3
100977,391,0,4
100978,550,0,4
100979,340,0,2
100980,294,0,3
100981,276,0,2
100982,385,0,2
100983,352,0,3
100984,81,0,2
100985,403,0,3
100986,373,0,3
100987,340,0,3
100988,233,0,4
100989,185,0,3
100990,219,0,3
100991,166,0,2
100992,497,0,4
100993,221,0,3
100994,243,0,2
100995,456,0,3
100996,274,0,3
100997,216,0,2
100998,440,0,4
100999,337,0,3
101000,544,0,4
101001,107,0,3
101002,367,0,2
101003,540,8,4
101004,260,8,3
101005,136,0,3
101006,358,0,2
101007,277,0,3
101008,212,0,3
101009,290,0,3
101010,430,0,4
101011,248,0,3
101012,308,0,2
101013,209,0,2
101014,349,8,3
101015,236,0,2
101016,425,0,3
101017,302,0,3
101018,485,0,4
101019,263,0,3
101020,116,0,2
101021,144,0,2
101022,593,0,4
101023,175,0,3
101024,580,0,3
101025,524,6,4
101026,271,0,3
101027,127,0,3
101028,137,0,2
101029,607,8,4
101030,277,0,3
101031,386,0,4
101032,501,8,4
101033,490,0,4
101034,222,0,3
101035,388,0,3
101036,232,0,4
101037,288,0,3
101038,257,0,3
101039,157,0,2
101040,147,0,2
101041,639,0,4
101042,576,0,3
101043,379,0,4
101044,433,0,4
101045,141,0,2
101046,346,0,2
101047,292,0,3
101048,613,0,3
101049,433,0,3
101050,603,0,3
101051,203,0,2
101052,297,0,2
101053,418,0,3
101054,41,0,1
101055,234,0,2
101056,30,0,1
101057,87,0,1
101058,446,0,3
101059,495,0,3
101060,444,0,4
101061,355,0,3
101062,478,0,3
101063,400,0,3
101064,385,8,3
101065,234,0,2
101066,213,0,2
101067,240,0,2
101068,484,0,2
101069,394,8,3
101070,145,0,1
101071,236,0,2
101072,361,0,3
101073,328,0,3
101074,198,0,3
101075,454,0,3
101076,534,0,3
101077,461,0,2
101078,122,0,1
101079,152,0,1
101080,484,0,3
101081,327,0,3
101082,165,0,1
101083,145,0,1
101084,262,0,3
101085,283,0,2
101086,299,0,2
101087,392,0,2
101088,389,0,3
101089,117,0,2
101090,60,0,1
101091,372,0,4
101092,120,0,1
101093,245,0,2
101094,263,0,2
101095,187,0,2
101096,378,0,2
101097,186,0,2
101098,62,0,2
101099,548,0,3
101100,283,0,3
101101,45,0,1
101102,299,0,2
101103,47,0,1
101104,63,0,1
101105,118,0,2
101106,238,0,2
101107,261,8,2
101108,469,8,3
101109,221,0,1
101110,49,0,1
101111,564,0,3
101112,170,0,3
101113,31,0,1
101114,383,0,3
101115,152,0,2
101116,361,0,3
101117,57,0,1
101118,87,0,1
101119,408,0,3
101120,258,0,2
101121,229,0,2
101122,499,0,3
101123,74,0,1
101124,63,0,1
101125,121,0,1
101126,142,0,1
101127,251,0,3
101128,220,0,2
101129,254,0,2
101130,172,0,2
101131,131,0,2
101132,297,0,2
101133,46,0,1
101134,141,0,1
101135,99,0,2
101136,272,0,3
101137,394,0,3
101138,443,0,3
101140,166,0,2
101141,501,0,3
101142,484,0,3
101143,220,0,2
101144,280,0,2
101145,369,0,2
101146,360,0,2
101147,562,0,3
101148,247,0,3
101149,87,0,1
101150,371,0,3
101151,120,0,2
101152,270,0,3
101153,281,0,3
101154,268,0,2
101155,166,0,2
101156,311,0,2
101157,108,0,1
101158,327,0,2
101159,274,8,2
101160,211,0,2
101161,227,0,1
101162,206,0,2
101163,119,0,2
101164,370,0,3
101165,288,0,2
101166,237,0,3
101167,84,0,1
101168,113,0,1
101169,331,0,3
101170,360,0,2
101171,195,0,3
101172,518,0,3
101173,161,0,2
101174,411,0,2
101175,117,0,2
101176,248,0,2
101177,129,0,1
101178,97,0,2
101179,183,0,2
101180,309,0,2
101181,98,0,2
101182,72,0,1
101183,336,0,2
101184,152,0,2
101185,394,0,2
101186,147,0,2
101187,89,0,1
101188,437,0,3
101189,292,0,2
101190,358,0,2
101191,210,8,1
101192,222,0,1
101193,309,0,2
101194,128,0,2
101195,283,0,3
101196,273,0,2
101197,361,0,2
101198,79,0,1
101199,165,0,2
101200,446,0,3
101201,408,0,3
101202,322,0,2
101203,49,0,1
101204,270,0,2
101205,147,0,2
101206,216,0,3
101207,34,0,1
101208,443,0,3
101209,246,0,1
101210,130,0,2
101211,437,0,3
101212,205,0,1
101213,303,0,2
101214,316,0,3
101215,250,0,2
101216,177,0,2
101217,275,8,2
101218,87,0,1
101219,30,0,1
101220,235,0,2
101221,229,0,2
101222,269,0,2
101223,360,0,3
101224,207,0,3
101225,123,0,1
101226,63,0,1
101227,148,0,2
101228,34,0,1
101229,594,0,3
101230,207,0,2
101231,138,0,2
101232,208,0,2
101233,213,0,2
101234,158,0,2
101236,481,8,2
101237,309,0,3
101238,220,0,1
101239,311,0,2
101240,240,0,2
101241,207,0,3
101242,51,0,1
101243,203,0,2
101244,102,0,1
101245,258,0,3
101246,357,0,3
101247,251,0,3
101248,161,0,1
101249,160,0,3
101250,176,0,3
101251,411,0,3
101252,149,0,1
101253,173,0,2
101254,372,0,2
101255,83,0,2
101256,335,0,2
101257,228,0,2
101258,272,0,1
101259,454,0,3
101260,476,0,3
101261,150,0,2
101262,208,0,2
101263,157,0,2
101264,264,0,2
101265,488,8,3
101266,137,0,2
101267,179,8,1
101268,247,0,3
101269,142,0,2
101270,265,0,2
101271,287,0,3
101272,343,0,2
101273,386,0,3
101274,213,0,2
101275,279,0,2
101276,199,0,1
101277,304,0,2
101278,456,0,3
101279,60,0,1
101280,32,0,1
101281,378,0,3
101283,334,0,3
101284,70,0,2
101285,377,0,3
101286,141,0,2
101287,44,0,1
101288,238,0,2
101289,138,0,1
101290,377,0,3
101291,124,0,1
101292,246,0,1
101293,34,0,1
101294,175,0,1
101295,329,0,2
101296,168,0,3
101297,222,0,2
101298,469,0,3
101299,136,0,2
101300,344,0,3
101301,281,0,2
101302,298,0,2
101303,364,0,2
101304,50,0,1
101305,331,0,2
101306,313,8,2
101307,215,0,3
101308,409,0,3
101309,439,0,3
101310,422,0,2
101311,301,0,2
101312,337,0,3
101313,597,0,3
101314,32,0,1
101315,409,0,2
101316,153,0,2
101317,553,0,3
101318,73,0,2
101319,215,0,1
101320,230,0,2
101321,234,0,2
101322,87,0,1
101323,31,0,1
101324,149,0,1
101325,285,0,3
101326,234,8,3
101327,361,0,3
101328,174,0,1
101329,472,0,3
101330,343,0,3
101331,278,0,2
101332,83,0,2
101333,38,0,1
101334,170,0,1
101335,121,0,2
101336,372,0,2
101337,230,0,2
101338,81,0,2
101339,273,0,2
101340,98,0,2
101341,124,0,2
101342,323,0,2
101343,74,0,1
101344,281,0,2
101345,144,0,1
101346,318,0,2
101348,200,0,1
101349,149,0,1
101352,177,0,2
101353,244,0,1
101354,76,0,1
101355,84,0,2
101356,212,0,2
101357,245,0,1
101358,246,0,2
101359,354,0,2
101360,188,6,1
101361,374,0,2
101362,228,0,2
101363,232,0,1
101364,491,0,2
101365,84,0,1
101366,34,0,1
101367,161,0,1
101368,144,0,2
101369,398,0,2
101370,265,0,2
101371,329,8,2
101372,142,0,1
101373,174,0,1
101374,144,0,1
101375,63,0,1
101377,49,0,1
101378,275,0,2
101380,132,0,1
101381,469,0,2
101382,231,0,2
101383,337,8,2
101384,135,0,2
101385,71,0,2
101386,209,0,2
101387,49,0,1
101388,228,0,2
101389,154,0,2
101390,300,0,2
101391,185,0,1
101392,63,0,1
101393,243,8,2
101394,40,0,1
101395,160,0,1
101397,54,0,1
101400,438,0,2
101401,99,0,2
101402,69,0,1
101403,200,0,2
101406,295,0,2
101407,258,0,2
101408,300,8,2
101409,89,0,1
101411,49,0,1
101414,244,0,2
101415,144,0,1
101416,208,0,2
101417,374,0,2
101418,102,0,2
101419,80,0,1
101421,182,0,2
101422,322,0,2
101423,263,0,1
101424,119,0,1
101425,49,0,1
101426,271,0,2
101427,65,0,1
101428,30,0,1
101429,152,0,2
101430,177,0,2
101431,163,0,1
101432,188,0,2
101434,266,0,2
101435,49,0,1
101436,139,0,1
101437,290,0,2
101438,431,6,2
101439,245,0,2
101440,206,0,2
101441,271,0,2
101442,224,0,2
101443,178,0,2
101444,30,0,1
101445,94,0,1
101447,104,0,2
101448,68,0,2
101449,309,0,2
101450,49,0,1
101451,172,0,1
101452,191,0,2
101453,30,0,1
101454,168,0,2
101455,438,0,2
101456,185,0,2
101457,149,0,1
101458,78,0,2
101459,221,0,1
101461,171,0,1
101462,300,0,2
101463,417,0,2
101464,83,0,2
101465,374,0,2
101466,177,0,1
101467,272,0,2
101468,268,0,2
101469,348,0,2
101470,226,0,2
101471,396,0,2
101472,223,0,2
101473,397,0,2
101474,123,0,1
101475,354,0,2
101476,356,0,2
101478,59,0,1
101479,175,0,2
101480,261,0,2
101481,157,0,1
101483,213,0,1
101484,168,0,1
101485,49,0,1
101486,319,0,2
101487,136,0,2
101489,362,0,2
101490,191,0,1
101491,291,0,2
101492,392,0,2
101493,144,0,1
101494,122,0,1
101495,217,8,2
101496,209,0,1
101498,220,8,1
101499,231,0,2
101500,363,0,2
101501,260,6,2
101502,231,0,2
101504,251,0,2
101505,34,0,1
101506,328,0,2
101507,256,0,2
101508,321,6,2
101509,58,0,1
101511,328,0,2
101512,41,0,1
101513,165,0,2
101514,99,0,1
101515,79,0,1
101516,261,0,1
101517,94,0,1
101518,336,0,2
101519,141,0,2
101520,226,0,2
101522,233,0,2
101523,158,0,2
101524,177,0,1
101525,44,0,1
101526,267,0,1
101527,34,0,1
